Reg.No,Index.No,Grade
2020/ICTS/01,TS6001,E
2020/ICTS/02,TS6002,A-
2020/ICTS/03,TS6003,D
2020/ICTS/04,TS6004,A+
2020/ICTS/05,TS6005,AB
2020/ICTS/06,TS6006,D
2020/ICTS/07,TS6007,E
2020/ICTS/08,TS6008,D+
2020/ICTS/09,TS6009,D-
2020/ICTS/10,TS6010,D
2020/ICTS/11,TS6011,A-
2020/ICTS/12,TS6012,B
2020/ICTS/13,TS6013,C+
2020/ICTS/14,TS6014,C+
2020/ICTS/16,TS6016,C
2020/ICTS/17,TS6017,E
2020/ICTS/19,TS6019,C
2020/ICTS/20,TS6020,C-
2020/ICTS/21,TS6021,A-
2020/ICTS/22,TS6022,B+
2020/ICTS/23,TS6023,B-
2020/ICTS/24,TS6024,B
2020/ICTS/25,TS6025,B-
2020/ICTS/26,TS6026,D
2020/ICTS/27,TS6027,B
2020/ICTS/28,TS6028,C
2020/ICTS/30,TS6030,C-
2020/ICTS/31,TS6031,C+
2020/ICTS/32,TS6032,B-
2020/ICTS/33,TS6033,B
2020/ICTS/34,TS6034,E
2020/ICTS/35,TS6035,E
2020/ICTS/36,TS6036,B+
2020/ICTS/37,TS6037,B
2020/ICTS/38,TS6038,C
2020/ICTS/40,TS6040,E
2020/ICTS/41,TS6041,B
2020/ICTS/42,TS6042,C+
2020/ICTS/43,TS6043,C
2020/ICTS/44,TS6044,C
2020/ICTS/45,TS6045,E
2020/ICTS/46,TS6046,E
2020/ICTS/47,TS6047,B-
2020/ICTS/49,TS6049,B+
2020/ICTS/50,TS6050,C-
2020/ICTS/52,TS6052,C
2020/ICTS/53,TS6053,C+
2020/ICTS/54,TS6054,D
2020/ICTS/55,TS6055,B+
2020/ICTS/56,TS6056,E
2020/ICTS/57,TS6057,B+
2020/ICTS/58,TS6058,E
2020/ICTS/59,TS6059,E
2020/ICTS/60,TS6060,D+
2020/ICTS/61,TS6061,B+
2020/ICTS/62,TS6062,B
2020/ICTS/63,TS6063,D
2020/ICTS/64,TS6064,B
2020/ICTS/65,TS6065,C
2020/ICTS/66,TS6066,D
2020/ICTS/67,TS6067,B
2020/ICTS/68,TS6068,AB
2020/ICTS/69,TS6069,C+
2020/ICTS/70,TS6070,B
2020/ICTS/71,TS6071,C
2020/ICTS/72,TS6072,B-
2020/ICTS/73,TS6073,E
2020/ICTS/74,TS6074,D
2020/ICTS/76,TS6076,C
2020/ICTS/77,TS6077,E
2020/ICTS/78,TS6078,A
2020/ICTS/79,TS6079,D
2020/ICTS/80,TS6080,C-
2020/ICTS/81,TS6081,B
2020/ICTS/82,TS6082,D
2020/ICTS/84,TS6084,C+
2020/ICTS/85,TS6085,C
2020/ICTS/86,TS6086,D+
2020/ICTS/87,TS6087,D
2020/ICTS/88,TS6088,D
2020/ICTS/89,TS6089,A+
2020/ICTS/90,TS6090,C+
2020/ICTS/91,TS6091,A+
2020/ICTS/92,TS6092,B+
2020/ICTS/93,TS6093,C
2020/ICTS/94,TS6094,A-
2020/ICTS/95,TS6095,C-
2020/ICTS/96,TS6096,B
2020/ICTS/97,TS6097,D
2020/ICTS/98,TS6098,D+
2020/ICTS/99,TS6099,E
2020/ICTS/100,TS6100,D+
2020/ICTS/102,TS6102,D
2020/ICTS/103,TS6103,C
2020/ICTS/104,TS6104,C+
2020/ICTS/105,TS6105,B
2020/ICTS/106,TS6106,B
2020/ICTS/107,TS6107,C-
2020/ICTS/108,TS6108,E
2020/ICTS/110,TS6110,D
2020/ICTS/111,TS6111,C
2020/ICTS/112,TS6112,D
2020/ICTS/113,TS6113,C
2020/ICTS/114,TS6114,D
2020/ICTS/115,TS6115,C-
2020/ICTS/116,TS6116,E
2020/ICTS/117,TS6117,E
2020/ICTS/119,TS6119,C
2020/ICTS/120,TS6120,D+
2020/ICTS/121,TS6121,D+
2020/ICTS/122,TS6122,E
2020/ICTS/123,TS6123,D
2020/ICTS/124,TS6124,E
2020/ICTS/125,TS6125,E
2020/ICTS/126,TS6126,D+
2020/ICTS/127,TS6127,B
2020/ICTS/128,TS6128,C
2020/ICTS/129,TS6129,B
2020/ICTS/130,TS6130,E
2020/ICTS/131,TS6131,C
2020/ICTS/132,TS6132,AB
2020/ICTS/134,TS6134,D
2020/ICTS/135,TS6135,D
2020/ICTS/136,TS6136,C+
2020/ICTS/137,TS6137,D
2020/ICTS/138,TS6138,A-
2020/ICTS/139,TS6139,E
2020/ICTS/140,TS6140,C+
2020/ICTS/141,TS6141,C
2020/ICTS/142,TS6142,E
2020/ICTS/143,TS6143,D
2020/ICTS/144,TS6144,C+
2020/ICTS/145,TS6145,B-
2020/ICTS/146,TS6146,B-
2020/ICTS/147,TS6147,B
2020/ICTS/148,TS6148,C
2020/ICTS/149,TS6149,C+
2020/ICTS/150,TS6150,E
2020/ICTS/151,TS6151,C
2020/ICTS/152,TS6152,E
2019/ICTS/180,TS5180,C-
2019/ICTS/182,TS5182,E
